workbench_id,row_id,source_pool,original_review_status,original_tier,company,category,location_or_country,booth,website,email,phone_whatsapp,product_packaging_signal,huasue_route,recommended_angle,risk_to_check,first_action,kevin_feedback_notes,source_link,source_notes
WB060,N049,new_nonduplicate_90,未审核-新候选,T1,"ANHUI SUTAITAI FOODS CO., LTD",packaged food exhibitor,CHINA,3H151 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB061,N032,new_nonduplicate_90,未审核-新候选,T1,ARYANA FOOD SDN BHD,packaged food exhibitor,MALAYSIA,2F106 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB062,N050,new_nonduplicate_90,未审核-新候选,T1,"BEIJING JTM INTERNATIONAL FOOD CO.,LTD",packaged food exhibitor,CHINA,3N233 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB063,N051,new_nonduplicate_90,未审核-新候选,T1,"CHAOYANG FENGMAI FOOD CO., LTD.",packaged food exhibitor,CHINA,3H146 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB064,N045,new_nonduplicate_90,未审核-新候选,T1,"CHUNGWOO FOOD CO.,LTD",packaged food exhibitor,SOUTH KOREA,3L189H HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB065,N033,new_nonduplicate_90,未审核-新候选,T1,CWP FOOD MANUFACTURING SDN BHD,packaged food exhibitor,MALAYSIA,2E073K HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB066,N047,new_nonduplicate_90,未审核-新候选,T1,DAHAEFOOD,packaged food exhibitor,SOUTH KOREA,3L191A HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB067,N034,new_nonduplicate_90,未审核-新候选,T1,FISKOR FOOD SDN BHD,packaged food exhibitor,MALAYSIA,2G124 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB068,N046,new_nonduplicate_90,未审核-新候选,T1,"FOODWARE CO., LTD.",packaged food exhibitor,SOUTH KOREA,3K188C HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB069,N052,new_nonduplicate_90,未审核-新候选,T1,"GREEN PRIME FOODS(BAOJI) CO.,LTD",packaged food exhibitor,CHINA,3G139 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB070,N035,new_nonduplicate_90,未审核-新候选,T1,HONG XIN FOOD SDN BHD,packaged food exhibitor,MALAYSIA,2F104 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB071,N036,new_nonduplicate_90,未审核-新候选,T1,KANTAN FOOD ASIA SDN BHD,packaged food exhibitor,MALAYSIA,2E073A HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB072,N054,new_nonduplicate_90,未审核-新候选,T1,"LAISITING (ZHANGZHOU) FOOD CO., LTD",packaged food exhibitor,CHINA,3H152 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB073,N053,new_nonduplicate_90,未审核-新候选,T1,"LANGAO COUNTY ZHUSHAN FOOD INDUSTRY CO., LTD.",packaged food exhibitor,CHINA,3J170 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB074,N055,new_nonduplicate_90,未审核-新候选,T1,"LIANYUNGANG MEXIA FOOD CO., LTD",packaged food exhibitor,CHINA,3H149 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB075,N037,new_nonduplicate_90,未审核-新候选,T1,MEGAHWAN FOOD SDN BHD,packaged food exhibitor,MALAYSIA,2G126 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB076,N038,new_nonduplicate_90,未审核-新候选,T1,NRB FOOD INDUSTRIES,packaged food exhibitor,MALAYSIA,2E076A' HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB077,N039,new_nonduplicate_90,未审核-新候选,T1,NZ FOOD AND BEVERAGES,beverage / coconut / food exhibitor,MALAYSIA,2G113A HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,Only if food/dessert/snack rigid SKU exists; otherwise supply-chain or low priority.,"Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB078,N042,new_nonduplicate_90,未审核-新候选,T1,"PACIFIC INNOFOOD CO., LTD.",packaged food exhibitor,THAILAND,2F095 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB079,N043,new_nonduplicate_90,未审核-新候选,T1,"PANYAPHORN FOOD CO., LTD",packaged food exhibitor,THAILAND,2F094A HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB080,N044,new_nonduplicate_90,未审核-新候选,T1,"SAHAPHAN FOODS CO., LTD",packaged food exhibitor,THAILAND,"2D069A, 2D069C, 2D070A HALL 2",,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB081,N048,new_nonduplicate_90,未审核-新候选,T1,SEMPIO FOODS COMPANY,packaged food exhibitor,SOUTH KOREA,3M221 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB082,N060,new_nonduplicate_90,未审核-新候选,T1,"SHANDONG SHANGKOUJIA FOOD CO., LTD",packaged food exhibitor,CHINA,3N225A HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB083,N040,new_nonduplicate_90,未审核-新候选,T1,SUN BEANS FOOD INDUSTRIES SDN BHD,nuts / snack foods exhibitor,MALAYSIA,2D070C HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"F PET jars, T PP tubs, E clear gift boxes for nuts/snack products.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB084,N041,new_nonduplicate_90,未审核-新候选,T1,WRIZERFOOD F&B SDN BHD,packaged food exhibitor,MALAYSIA,2G125 HALL 2,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB085,N058,new_nonduplicate_90,未审核-新候选,T1,"YANGZHOU HEXIN FOODS CO.,LTD",packaged food exhibitor,CHINA,3N230 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB086,N056,new_nonduplicate_90,未审核-新候选,T1,"YANTAI TIANLU FOODS CO., LTD",packaged food exhibitor,CHINA,"3H148, 3H150 HALL 3",,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB087,N059,new_nonduplicate_90,未审核-新候选,T1,"YISHUI GUIFUXING FOOD CO., LTD",packaged food exhibitor,CHINA,3N226A HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB088,N057,new_nonduplicate_90,未审核-新候选,T1,"YUNNAN KAYSEN FOOD CO., LTD",packaged food exhibitor,CHINA,3N235 HALL 3,,,,New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",Product category unclear; may not use rigid injection packaging.,Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB089,M033,old_master_233,未审核-AI预筛,T2 AI_prescreen,Custom Food Ingredients,food_oem_private_label,Malaysia,,https://customfoodingredients.com/,,,food ingredients and solutions,B/T first; A/K optional,"ingredient tubs, sample containers, B2B food pack",,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,
WB090,M026,old_master_233,已审核,T2,ES Food Industries Sdn Bhd,food manufacturer; food_direct_customer,Malaysia,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,,food products,Supply-chain outsourcing; not HUASUE-only,"food containers, retail packs, paper bags",,先核验官网/联系人/采购负责人；再决定是否开发 / Verify official site/contact; determine whether they are direct buyer or channel; check revenue/size if large enough.,"Possible opportunity, especially small tub/pail direction, but needs SKU/package verification because it also has paste/canned/ready-prepared product lines.",,FDM official exhibitors list 2024/2025: Official FDM exhibitors list includes this company in Malaysia entries.
WB091,M039,old_master_233,已审核,T2-T3,Fantastic Food Factory,halal food manufacturer OEM / food_sweet_expanded,Petaling Jaya Selangor,,https://www.fantasticfoodfactory.com/,sales@fantasticfoodfactory.com,+603-7832 7251,cakes cup desserts OEM food,F/E first; T/J optional,"cup dessert containers, cake cups, clear dessert packaging, frozen dessert packs",,Review/send Gmail draft r-3502469360609977176; then follow up by WhatsApp/phone where available,Fit not as high as previously scored. Needs stricter product-format review.,,"Third batch food/sweet focus. Category: halal food manufacturer OEM. Angle: cup dessert containers, cake cups, clear dessert packaging. Website added in signature."
WB092,M040,old_master_233,已审核,T2-T3,FJ Food Solution Sdn Bhd,sauce_condiment_oem / food_oem_private_label,Kuala Lumpur,,https://fjfood.com.my/oem-sauce-food-manufacturing/,enquiry@fjfood.com.my,,"OEM sauce, ready meal, private label",B/T first; A/K optional,"PP/IML small tub, sauce cup, OEM packaging test",,Email sent from Gmail draft r-3018553862845987116; phone follow-up if no reply,Prepared/sauce/OEM type; likely soft-pack/line constraints.,,"Gmail draft created. Duplicated in sauce and OEM pools; created one draft only. Angle: PP/IML small tubs, sauce cups, OEM packaging test samples and foodservice containers. User confirmed all first-batch drafts were sent on 2026-07-03."
WB093,M041,old_master_233,已审核,T2-T3,Gongga Food Sdn Bhd,central kitchen bakery sauce OEM / food_sweet_expanded,Subang Jaya Selangor,,https://www.gonggafood.com.my/,my-fb-sales@jdecoffee.com,+6016-550 0535 WhatsApp,central food processing bakery sauces dessert,F/E first; T/J optional,"ready-meal tubs, sauce cups, bakery containers, dessert cups, foodservice packs",,Review/send Gmail draft r-1412332613503960075; then follow up by WhatsApp/phone where available,Fit not high enough for top priority.,,"Third batch food/sweet focus. Category: central kitchen bakery sauce OEM. Angle: ready-meal tubs, sauce cups, bakery containers, dessert cups. Website added in signature."
WB094,M042,old_master_233,已审核,T2-T3,KL Kris Food Ind,food/snack manufacturer; food_direct_customer,Malaysia / FDM featured,,https://www.fooddrinksmalaysia.com/who-exhibits/,,,food and snack products,T/J first; F/E optional,"clear snack containers, PET jars, retail packs",,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,Average.,,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
WB095,M043,old_master_233,已审核,T2/T3 need_check,Lavender Bakery,bakery cafe chain; supply_chain_outsourcing,Malaysia,,https://mifb.com.my/mycafeexpo/,,,bakery/cafe chain,C/E first; T/J optional,"cake trays, PET boxes, paper bags, paper cups",,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,"Possible, but needs scale and packaging route check.",,"Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names."
WB096,M034,old_master_233,未审核-AI预筛,T2 AI_prescreen,LHP Packaging Sdn Bhd,peer_manufacturer,Malaysia,,https://www.lhppackaging.com/,,,Plastic injection moulding company producing disposable takeaway plastic food containers,Needs product-format check,K-series general items; T-series tubs; J-series packaging; complementary/overflow selected SKU cooperation,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,
WB097,M035,old_master_233,未审核-AI预筛,T2 AI_prescreen,Michigan Pastries,premium frozen cakes and desserts,Johor Bahru,,https://www.michiganpastries.com/about-us,,verify from website/social,premium frozen cake and desserts,F/E first; T/J optional,"frozen cake containers, clear dessert boxes, cake trays, retail dessert packaging",,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,
WB098,M036,old_master_233,未审核-AI预筛,T2 AI_prescreen,Nestle Ice Cream,ice cream / frozen dessert,Malaysia presence likely via Nestle Malaysia,,,,,,F/E first; T/J optional,PP tubs / dessert cups / ice cream container benchmarking,,Find Nestle Malaysia packaging procurement or factory contact; check if MIFB/food expo route exists,,,High value but difficult; use as benchmark and long-term account.
WB099,M029,old_master_233,已审核,T2,PA Food,food_oem_private_label / frozen_food / food_oem_private_label,Malaysia,,https://www.pa-food.com/services/,unknown / marketing@pa-food.com,unknown,"frozen Asian street food, OEM/private label / PP tamper-evident tubs; PP meal boxes/trays; frozen pastry / ready-to-cook packaging",C/E first; T/J optional,OEM frozen food packaging and lidded tray / PP tamper-evident tubs; PP meal boxes/trays; frozen pastry / ready-to-cook packaging,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Find named R&D/packaging/procurement contact before generic email; ask who handles packaging sample testing / Find named R&D/packaging/procurement contact; use LinkedIn + phone/website form before generic email / Review and send Gmail draft r-4991955581729466635; then WhatsApp/LinkedIn follow-up if available,"Prepared-food type; keep, but not top tier.",,"PA Food has strong export/import signal and frozen/OEM fit; generic contact not enough. / Draft created: draft_id=r-4991955581729466635; message_id=19f2bfda35c38ed2. Attachments: B PP tamper-evident, K PP meal boxes."
WB100,M037,old_master_233,未审核-AI预筛,T2 AI_prescreen,Pak Keong Food Industries Sdn Bhd,,"Lot PT 51670, Hala Jati 7, Kawasan Perindustrian Taman Meru, 30020 Ipoh, Malaysia",,https://pkf.com.my/,pkfcones@gmail.com,6011-55028391,"Ice cream cones, wafer cone protection, B2B foodservice packs",T/J first; F/E optional,Wafer cone anti-breakage tray and foodservice bulk packaging,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,
WB101,M044,old_master_233,已审核,T2-T3,Sauce Empire Manufacturing / Nyolike,sauce_condiment_oem,"Kajang, Selangor",,https://nyolike.com/private-label-oem/,nyolike.info@gmail.com,+6012-347 2668 / +6012-347 1449,"OEM sauce, retail pack, food service pack",B/T first; A/K optional,"sauce cups, PP/IML small tubs, small pails, foodservice packaging",,Review/send Gmail draft r456450800614734445; WhatsApp/call +6012-3472668 or +6012-3471449,Sauce category is tied to production line; soft packaging likely. Lower from previous priority.,,"Second batch. Angle: sauce cups, PP/IML small tubs, small pails and foodservice packaging."
WB102,M045,old_master_233,已审核,T2/T3 need_check,Secret Recipe Malaysia,cake/cafe restaurant chain; supply_chain_outsourcing,Malaysia,,https://mifb.com.my/mycafeexpo/,,,cakes and cafe restaurant chain,C/E first; T/J optional,"cake display trays, PET boxes, paper bags, takeaway containers",,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,"Large group, but unknown whether packaging is outsourced or centrally procured.",,"Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names."
