priority_action,final_tier,company,sources,route_included,route_area,route_seq,size_class,customer_type,fit_product,phone,email,website,maps,address,has_maps,has_phone,has_email,open_status,distance_km,review_status,contact_status,followup_status,gmail_draft_id,next_action,risk,notes,photo_paths,entity_key,tier_group,country_scope,channel_track,data_confidence,last_updated
Route now,T0,Nice Victory Sdn Bhd / Nice Cocoa,160 T0/T1整合池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,巧克力/糖果/甜品制造,"Chocolate products fit PET jars, clear PET boxes, gift/display rigid packaging.",,,https://www.nicecocoa.com/usr/contactus.aspx?pgid=5,,,No,No,No,,,Pending review,Not contacted,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Official contact page identifies Nice Victory as chocolate manufacturer Johor Bahru. / Risk: Need email hidden/verify; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,nicevictorynicecocoa,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,NIMS,160 T0/T1整合池; 233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,chocolate snack tub / confectionery | 巧克力/糖果/甜品制造,F/E first; T/J optional; PP/IML tubs / PET jars / chocolate snack tubs,,,,,Malaysia brand already in trial batch,No,No,No,,,Pending review,Not contacted,uncontacted,,Continue WhatsApp/email/LinkedIn trial already prepared,,Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.; Already in trial batch; validates Combi-Pack reverse-lead method.; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,nims,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,NIMS Adeliciousz Sdn Bhd,160 T0/T1整合池; 233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-20 field visit plan; 2026-07-12 offsite visit pool,Yes,2026-07-20 field route; KL / Selangor,7,Field-verified target,snack/confectionery brand; food_direct_customer / snack_confectionery / chocolate_tub / snack_confectionery / chocolate_tub / full_existing_product_fit | 巧克力/糖果/甜品制造,"chips/snack products / PET jars for chocolate/snacks; PP/IML tubs for choco tub; clear boxes for gift/mixed packs; F/E first; T/J optional; snack tubs, clear packs, paper bags for retail / PET jars for chocolate/snacks; T/J/F/E都适配；choco tub、snack tub、PET罐、透明盒。",+603-33964777 / +6019-7077725 / +6016-7775507 / website/whatsapp/email/linkedin/volza; +603-33964777 / +6019-7077725 / +6016-7775507,"sales@nims.my; marketing@nims.my; export@nims.my; nims.hq@gmail.com / sales@nims.my, marketing@nims.my, export@nims.my, customerservice@nims.my, nims.hq@gmail.com",https://www.fooddrinksmalaysia.com/who-exhibits/ / https://nims.my/,https://www.google.com/maps/search/?api=1&query=No.%2093%2C%20Jalan%20Perindustrian%204/KU8%2C%20Kawasan%20Perindustrian%20Meru%20Selatan%2C%2041050%20Klang%2C%20Selangor%2C%20Malaysia,"Malaysia / FDM featured; No. 93, Jalan Perindustrian 4/KU8, Kawasan Perindustrian Meru Selatan, 41050 Klang, Selangor, Malaysia",Yes,Yes,Yes,,,Field reviewed,needs_contact_research / research_prepared_not_contacted / gmail_draft_created / reminder_scheduled | LinkedIn联系人已找到,reminder_scheduled,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach. / WhatsApp first; email export@sales; LinkedIn BD director if no reply / WhatsApp first; email export/sales; LinkedIn BD director if no reply / Review and send Gmail draft r-4408467684294545514; then WhatsApp +6019-7077725 / LinkedIn BD follow-up / Monday 09:30 reminder: verify WhatsApp +6019-7077725 / +6016-7775507; if not available call +603-33964777 and ask for packaging sourcing / sample review / R&D contact; goal is MIFB booth 2709 meeting or office/factory visit. | 可通过 Business Development Director 路由到 packaging/purchasing/R&D PIC；不要自动加人,,"Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.; FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / Best trial lead: choco tub product + export signal + official social/contact channels. / Draft created: draft_id=r-4408467684294545514; message_id=19f2bfdf7ffd114e. Attachments: B PP tamper-evident, F PET jars. / Automation created in Codex app with id=nims. NIMS is marked full existing-product fit; use nims_whatsapp_outreach_dashboard_2026-07-04.html and nims_homepage_contact_form_dashboard_2026-07-04.html.; Mihyatul Hussnna (Mia Husna) Mat found via Exa/LinkedIn; We saw your snack/chocolate tub products and would like to show PP tamper-evident tubs, snack boxes and PET jars. Is your packaging or purchasing person available today?; NO_KNOWN_BOOTH / 展会外处理; LinkedIn联系人已找到; No confirmed appointment",,nimsadeliciousz,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,High,2026-07-21
Route now,T0,Noraini Cookies Worldwide,160 T0/T1整合池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,烘焙/饼干/曲奇/糕点,Festive cookies and premium cookie packs fit T-series tubs and J tamper-evident boxes.,,,https://norainicookies.com/,,,No,No,No,,,Pending review,Not contacted,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Cookie-specific brand; likely seasonal pack needs. / Risk: Need scale and contact check; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,norainicookiesworldwide,T0,Malaysia / event-discovered; Malaysia,research_only,Medium,2026-07-21
Route now,T0,Notti Pet Food,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"BURO says Notti makes natural supplements and treats for joint care, gut, plaque, allergy; freeze-dried chunks.","Slow-baked kibble, supplements, freeze-dried chunks",T/J branded tubs; small supplement containers; PET jars,,,https://nottipetfood.com/,,Malaysia,No,No,No,,,Pending review,Find contact/stockists; propose dental/supplement tub packaging.,Not started,,Find contact/stockists; propose dental/supplement tub packaging.,,Very close to dental/supplement logic; likely premium packaging conscious.; Health-function treats/supplements can use small tubs like reference image.; new; NO_KNOWN_BOOTH / 展会外处理; Find contact/stockists; propose dental/supplement tub packaging.,,nottipetfood,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,High,2026-07-21
Develop contact,T0,OldTown White Coffee,2026-07-12 Malaysia F&B chain pool,No,,,Reports indicate 180 to 200+ Malaysia outlets,咖啡奶茶/饮品连锁,paper cups; takeaway meal packaging; carrier bags; sauce cups; secondary packaging,,,https://oldtown.com.my/,,,No,No,No,,,待找总部采购联系人,Not contacted,Not started,,Build corporate procurement file; check JDE/holding structure before outreach,,"Large established operator, but may have locked suppliers; approach group procurement; High; BusinessToday cites 180 Malaysia stores; other sources cite 200+",,oldtownwhitecoffee,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,OPPA Steamboat,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Check-valve hotpot soup container; high-temperature lid test,,,https://www.oppasteamboat.com/,,,No,No,No,,,Pending review,Find HQ/WhatsApp; ask who handles delivery packaging,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Official site positions OPPA as online ordering and delivery steamboat across Klang Valley.; NO_KNOWN_BOOTH / 展会外处理; Find HQ/WhatsApp; ask who handles delivery packaging,,oppasteamboat,T0,Malaysia / event-discovered; Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
Route now,T0,Paw-cipes,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,BURO says Paw-cipes has air-dried and freeze-dried recipes in different sizes; Oyen lists freeze-dried chicken liver.,Air-dried and freeze-dried pet treats,"T/J small tubs, PET jars, sample packs",,,https://pawcipes.my/,,Malaysia,No,No,No,,,Pending review,Check website/Shopee product formats; pitch 35g/100g tub trial.,Not started,,Check website/Shopee product formats; pitch 35g/100g tub trial.,,Direct freeze-dried pet snack match; small SKU variety suits multiple tub sizes.; Freeze-dried treats usually need moisture barrier; tubs can be secondary retail pack.; new; NO_KNOWN_BOOTH / 展会外处理; Check website/Shopee product formats; pitch 35g/100g tub trial.,,pawcipes,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Route now,T0/T1,Pawsitive Kin,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"BURO says one-stop doggy shop for jerky, goat milk chewies and air-dried offals.","Jerky, goat milk chewies, air-dried offals","T/J tubs, PET jars",,,Instagram/Shopee via BURO,,Malaysia,No,No,No,,,Pending review,Find Shopee seller and owner contact; pitch small batch tub trial.,Not started,,Find Shopee seller and owner contact; pitch small batch tub trial.,,Premium treat variety; direct tub test possible for chewies/offals.; Likely pouch today; tub can be premium resealable pack.; new; NO_KNOWN_BOOTH / 展会外处理; Find Shopee seller and owner contact; pitch small batch tub trial.,,pawsitivekin,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,Pet Universe Nourish,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Official site says premium human-grade dog and cat food in Malaysia.,Human-grade premium dog/cat food,T/J tubs for toppers/treats; PP food cups,,,https://nourish.petuniverse.com/,,Malaysia,No,No,No,,,Pending review,Check SKU packaging; find product development/procurement.,Not started,,Check SKU packaging; find product development/procurement.,,"Premium brand, likely packaging-conscious; good long-term.; Dry/wet food likely bag/tray; treats/topper line can use tubs.; new; NO_KNOWN_BOOTH / 展会外处理; Check SKU packaging; find product development/procurement.",,petuniversenourish,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Route now,T0,Pet World Nutritions Sdn Bhd,160 T0/T1整合池; 233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"Official site lists ProDiet, ProBalance, Delizios, Le Gourmet, ProVet+; facilities page says 73 SKUs and growing.",Major pet food manufacturer / own brands,"pet food/products; Non-food track; lower current priority; pet food container, treat jars, retail pack; T/J tubs for treats/supplements; PET jars; promotional packs; T/J、PP tub、PET jar 视产品图而定",03-7717 3033,,https://www.petworld.com.my/,https://www.google.com/maps/place/Pet+World+Nutritions+Sdn+Bhd/data=!4m7!3m6!1s0x31cc52be0fb54201:0xb7e485a869ef1c3!8m2!3d3.0528173!4d101.5004304!16s%2Fg%2F11b5qt16kc!19sChIJAUK1D75SzDERw_GehlpIfgs?authuser=0&hl=zh-CN&rclk=1,"Malaysia; 宠物护理服务 · 8, Persiaran Kemajuan; Shah Alam / Malaysia",Yes,Yes,No,,,Google Maps screened,Re-score from long-term to pet-packaging priority; find brand/product packaging team.,uncontacted / 未跟进-待背景调查,,Re-score from long-term to pet-packaging priority; find brand/product packaging team.,,"Large local manufacturer; not just distributor. Worth long-term packaging development despite existing pool downrating.; 4.2(51); pet food manufacturer Shah Alam Malaysia; 已在总表/前批地图; Pet World Nutritions Sdn Bhd; 宠物护理服务 · 8, Persiaran Kemajuan; 已结束营业 · 开始营业时间：周一08:00 · 03-7717 3033; ; 网站; ; 路线; Main food may use bags/cans; treats/premium lines can use tubs/jars/gift packs.; existing; NO_KNOWN_BOOTH / 展会外处理; 待背景调查",,petworldnutritions,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Route now,T0,PledgeCare,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Oyen and BURO mention PledgeCare air-dried and freeze-dried products for dogs/cats.,Air-dried/freeze-dried dog and cat food/treats,"T/J small tubs, PET jars, premium bundles",,,https://pledgecare.org/,,Malaysia,No,No,No,,,Pending review,Find direct website contact and Shopee/Lazada volume; pitch freeze-dried tub trial.,Not started,,Find direct website contact and Shopee/Lazada volume; pitch freeze-dried tub trial.,,High-value nutrition/treat brand; strong fit for resealable moisture-protection packaging.; Premium treats often in pouches; tub can upgrade bundle/topper/freeze-dried presentation.; new; NO_KNOWN_BOOTH / 展会外处理; Find direct website contact and Shopee/Lazada volume; pitch freeze-dried tub trial.,,pledgecare,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Route now,T0,Popolo Groups (M) Sdn Bhd,160 T0/T1整合池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,烘焙/饼干/曲奇/糕点,Wafer roll/filling biscuit packs fit T/J and clear PET display/gift packs.,,,https://welcome.popologroups.com/en/about-us,,,No,No,No,,,Pending review,Not contacted,Not started,,"find contact, then decide WCS vs Popolo recipient",,Official page connects Popolo to W.C.S Food Industries and biscuit industry. / Risk: May duplicate WCS route; keep as brand/channel contact; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,popologroups,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T0,QMAY Food Asia Sdn Bhd,2026-07-17 corrected supermarket research,No,,,,马来西亚伴手礼/巧克力/土特产,T/J系列；PET透明礼品盒；F PET罐,"+603-9548 0155, +6012-239 8168, +6017-295 8168","inquiry@qmayfoodasia.com, sales@qmayfoodasia.com",https://www.qmayfoodasia.com/contact-us/,,"Seri Kembangan, Selangor",No,Yes,Yes,,,Photo mapping corrected,Not contacted,Not started,,这家可直接WhatsApp；问老板/采购是否有巧克力礼品包装升级或新SKU。,,T&G Durian / T&G chocolate; 巧克力礼品盒/伴手礼零售包装; 本地伴手礼品牌，产品强调礼品和旅游零售，适合做包装升级/节庆礼品方案。; 官网销售/询盘联系方式；采购未确认; WeChat tommycham8168；IG/Facebook有公开销售联系方式,/Users/kevin/Desktop/超市实拍/F94B7B92-C8F1-46A5-A179-A433B3457BE4_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/03F85FDB-8415-46F8-9296-65D351CF6F9C_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/653357A2-2368-45A0-BC1C-4F2D64AACC2B_4_5005_c.jpeg,qmayfoodasia,T0,Malaysia,rigid_food_packaging,High,2026-07-21
Find contact,T0,QMAY Food Asia Sdn Bhd / T&G Durian,160 T0/T1整合池; 超市实拍; 2026-07-18 consolidated master,No,,,,Durian chocolate / souvenir gift food,T/J + PET gift packaging,,,,,,No,No,No,,,,超市来源邮箱待核验；旧草稿禁止发送,contact_discovery_required,r7432722303834876417; r7432722303834876417,先核验官网/Google Maps/LinkedIn/电话，再决定是否重建Gmail草稿,,"T&G Durian相关货架/背标图 | Also WhatsApp +6012-2398168 / +6017-2958168 | EMAIL HOLD 2026-07-18: 超市实拍来源邮箱未核验，原邮箱=inquiry@qmayfoodasia.com, sales@qmayfoodasia.com",/Users/kevin/Desktop/超市实拍/68E99397-F2D0-404A-B2D2-3D70B7EFF4B9_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/03F85FDB-8415-46F8-9296-65D351CF6F9C_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/653357A2-2368-45A0-BC1C-4F2D64AACC2B_4_5005_c.jpeg;/Users/kevin/Desktop/超市实拍/0693E7F7-439D-432B-B8AB-0DFA2491EEC7_4_5005_c.jpeg,qmayfoodasiatandgdurian,T0,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Develop contact,T0,QSR Brands / KFC / Pizza Hut,2026-07-12 Malaysia F&B chain pool,No,,,850+ KFC restaurants and 500+ Pizza Hut restaurants across MY/SG/BN/KH,Quick service restaurant group,纸袋、纸杯、杯盖、酱料杯、餐盒、外卖袋；部分注塑小杯/酱杯,,,https://qsrbrands.com/,,,No,No,No,,,待深挖/待联系,Not contacted,Not started,,"Long-term account; find packaging supplier registration/procurement route, not cold call single outlet.",,体量巨大，但采购体系成熟，进入难度很高。; Very high: global/large corporate procurement.; Large packaging account; not first hot-soup valve,,qsrbrandskfcpizzahut,T0,Malaysia,hot_soup_valve; external_sourcing; rigid_food_packaging,Medium,2026-07-21
Route now,T0,Quan Dog Treats,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,BURO describes Quan as a leading local premium dog treat brand with dehydrated proteins and freeze-dried chunks.,"Dehydrated proteins, freeze-dried chunks, biscuits, offals","T/J tubs, PET jars, retail sample bundles",,,https://www.quandogtreats.com/,,Malaysia,No,No,No,,,Pending review,Find contact and product sizes; pitch limited-edition tub packaging.,Not started,,Find contact and product sizes; pitch limited-edition tub packaging.,,Strong premium dog treat SKU diversity; suitable for special edition tubs.; Premium chews may be pouch; smaller chunks/biscuits can use tubs.; new; NO_KNOWN_BOOTH / 展会外处理; Find contact and product sizes; pitch limited-edition tub packaging.,,quandogtreats,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Meet at exhibition,T0,QUICE FOOD INDUSTRIES LTD PAKISTAN,160 T0/T1整合池; 323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 4,PAKISTAN 4Q278 HALL 4,,packaged food exhibitor | 巧克力/糖果/甜品制造,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.; T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.; Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,PAKISTAN,No,No,No,,,Pending review,Use booth/source to verify products first; only then prepare outreach or meeting request.,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,quicefoodindustriespakistan,T0,Malaysia / event-discovered; PAKISTAN,rigid_food_packaging,High,2026-07-21
Route now,T0/T1,Rakanda Enterprise Sdn Bhd HQ,2026-07-20 field visit plan,Yes,2026-07-20 field route,1,Field-verified target,Field visit target,T/J/K/ABK/排气外卖碗；PP食品容器；渠道批发合作。,+603-8727 8877 / +603-8727 7977,info@rakanda.my,,https://www.google.com/maps/search/?api=1&query=13%2C%20Jalan%20Signature%20Industrial%20Park%201%2C%2043500%20Semenyih%2C%20Selangor%2C%20Malaysia,"13, Jalan Signature Industrial Park 1, 43500 Semenyih, Selangor, Malaysia",Yes,Yes,Yes,,,Field reviewed,Not contacted,Not started,,第一站总部。目标是找 Purchasing / Procurement / Merchandising / Supplier Listing PIC。,,"We supply PP/PET food packaging from Thailand. I would like to meet the person in charge of supplier listing, purchasing or merchandising for packaging products.",,rakandaenterprisehq,T0,Malaysia,hot_soup_valve; pet_packaging; rigid_food_packaging,High,2026-07-21
Develop contact,T0,Richiamo Coffee,2026-07-12 Malaysia F&B chain pool,No,,,Bernama 2025 says 220 outlets and target 350,咖啡奶茶/饮品连锁,paper cups; cup lids; sleeves; paper bags; takeaway carriers,,,https://www.richiamocoffee.com/,,,No,No,No,,,待找总部采购联系人,Not contacted,Not started,,Find procurement or expansion team; pitch cost-stable packaging supply for new stores,,Strong local growth; likely easier than global chains if HQ contact found; Medium-High; Bernama cites 220 outlets and 350 target,,richiamocoffee,T0,Malaysia,research_only,Medium,2026-07-21
Develop contact,T0,Rompin Integrated Pineapple Industries Sdn Bhd (ROMPINE),233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-20 supermarket field photos,No,,,5000-acre vertically integrated grower; 30000 sq ft food facility; industrial/foodservice/retail,fruit product brand; food_direct_customer,"pineapple products; T/J first; F/E optional; clear gift packaging, PET boxes, paper bags; T-series PP handled/tamper-evident bucket; IML or label version",+603 8940 7171,maylyn@rompine.com.my,https://www.fooddrinksmalaysia.com/who-exhibits/; https://www.rompine.com.my/,,Malaysia / FDM featured; 21-5 Jalan SP 2/1 Serdang Perdana 43300 Seri Kembangan Selangor,No,Yes,Yes,,,Photo reviewed,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.; Fresh pineapple chunks 450g; Clear handled PP bucket; Manufacturer confirmed; named sales contact found; Official site + public exhibition directory + photographed label,,rompinintegratedpineappleindustriesrompine,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,High,2026-07-21
Meet at exhibition,T0,ROTHE CIKOLATA VE SEKERLEME SAN. VE TIC. LTD.STI.,160 T0/T1整合池; 323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 2,2D065 HALL 2,,chocolate / confectionery exhibitor | 巧克力/糖果/甜品制造,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.; E/F PET clear boxes and jars; custom rigid gift/display packaging; T/J only if snack tubs or secure boxes appear.; Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,TURKIYE,No,No,No,,,Pending review,Use booth/source to verify products first; only then prepare outreach or meeting request.,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,rothecikolatavesekerlemesanveticsti,T0,Malaysia / event-discovered; TURKIYE,rigid_food_packaging,High,2026-07-21
Find contact,T0/T1,Ryverra Chocolate Story,2026-07-17 corrected Google Maps discovery,No,,,,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,,,,https://www.google.com/maps/place/Ryverra+Chocolate+Story/data=!4m7!3m6!1s0x31cc4726ebaff5d9:0xe9270d15c6a61fcb!8m2!3d3.2138198!4d101.6916453!16s%2Fg%2F11v4mzh2l9!19sChIJ2fWv6yZHzDERyx-mxhUNJ-k?authuser=0&hl=zh-CN&rclk=1,"巧克力工厂 · Lot 1, MARA Halal Industrial Park, KM13, Selangor MY, Off, Jalan Batu Caves",Yes,No,No,,,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"4.9(630); chocolate factory Kuala Lumpur Malaysia; chocolate factory Selangor Malaysia; 已在总表/前批地图; Ryverra Chocolate Story; 巧克力工厂 · Lot 1, MARA Halal Industrial Park, KM13, Selangor MY, Off, Jalan Batu Caves; 已结束营业 · 开始营业时间：周六08:30; 外带",,ryverrachocolatestory,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T0-T1,S.E.A Field Sdn Bhd / Meriah,2026-07-20 supermarket field photos,No,,,Established 1998; food manufacturing and Peninsular Malaysia hypermarket distribution; 2024 net sales +46.89%,Supermarket field discovery,F PET jar or J/T PP tamper-evident dry-powder tub; IML/label range,+603 8061 6753,,,,34 & 36 Jalan Industri Mas 1 Taman Mas 47100 Puchong Selangor,No,Yes,No,,,Photo reviewed,Not contacted,Not started,,Call main line for procurement/production/packaging materials; verify active rigid-pack SKUs and monthly volume,,Cocoa powder and broad baking ingredient range; Photographed clear round jar with yellow lid; current retail listings also show pouches; Company and brand owner identified; packaging buyer not yet verified; Barcode 9555114002187 + EMIS 2026 profile + owner-validated directory + current job listings,,seafieldmeriah,T0,Malaysia,rigid_food_packaging,High,2026-07-21
Route now,T0/T1,Signature Market Two Tails,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Oyen lists Two Tails freeze-dried salmon/krill pies and chicken/beef bites; Signature Market sells pet treats.,Freeze-dried pet treats under e-commerce brand,"T/J small tubs, PET jars, display packs",,,https://www.signaturemarket.co/my/marketplace/snack/all/2/66/Pet_Treats.html,,Malaysia,No,No,No,,,Pending review,Find category buyer/private-label product manager.,Not started,,Find category buyer/private-label product manager.,,Existing large DTC platform; can test private-label pet treat packaging.; E-commerce snack brand likely pouch; tubs can be premium line/limited bundle.; new; NO_KNOWN_BOOTH / 展会外处理; Find category buyer/private-label product manager.,,signaturemarkettwotails,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Route now,T0,Siong Ben Soup House,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,Check-valve soup bowl; anti-spill hot soup delivery lid,info@sbsoup.com / +6017-680 8183,,https://www.sbsoup.com/,,,No,Yes,No,,,Pending review,WhatsApp; ask delivery packaging owner; offer sample test,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Site states wide variety of soup and food delivery available.; NO_KNOWN_BOOTH / 展会外处理; WhatsApp; ask delivery packaging owner; offer sample test,,siongbensouphouse,T0,Malaysia / event-discovered; Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
Meet at exhibition,T0,SIX-B FOODS INDUSTRIES,160 T0/T1整合池; 323总审核池; 2026-07-18 consolidated master; 2026-07-11 exhibition booth walklist,Yes,FDM by SIAL 2026 / Chocolate Show 2026; HALL 4,4Q280 HALL 4,,packaged food exhibitor | 巧克力/糖果/甜品制造,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.; T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.; Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,PAKISTAN,No,No,No,,,Pending review,Use booth/source to verify products first; only then prepare outreach or meeting request.,Not started,,Use booth/source to verify products first; only then prepare outreach or meeting request.,"Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.","FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.; MITEC Kuala Lumpur; 2026-07-21 to 2026-07-23; Source has booth number from FDM official exhibitor list; this is not confirmed as MIFB KLCC booth.",,sixbfoodsindustries,T0,Malaysia / event-discovered; PAKISTAN,rigid_food_packaging,High,2026-07-21
